id,answer,image_id,image,user_uid,quiz_id,created_at,updated_at
731,Sorpresa ,341,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFVCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--81cb003a339ef7b064caa162b116a9ed5adaa28c/mafalda_03_481_0_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:46:59 UTC,2021-07-14 21:46:59 UTC
732,Neutro,342,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFlCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3f0ed76b3862638b622ccc3c1266ef81b796a16a/mafalda_03_481_1_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:47:04 UTC,2021-07-14 21:47:04 UTC
733,Neutro,343,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbGNCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3e177aeead4d228989beeaff7e9d4f8f2052af61/mafalda_03_481_2_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:47:12 UTC,2021-07-14 21:47:12 UTC
734,Sorpresa ,344,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbGdCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e95e9ae5834258cd8c9b5473d05520ce128ca7d5/mafalda_03_481_3_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:47:17 UTC,2021-07-14 21:47:17 UTC
735,Neutro,345,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbGtCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3d3e25ccab6df7a9fcb6f7dadbd9684678d6b720/mafalda_03_481_4_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:47:21 UTC,2021-07-14 21:47:21 UTC
736,Sorpresa ,346,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbG9CIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--75559e0807c85a05793652bc5ea7f0383830f345/mafalda_03_481_4_1.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:47:25 UTC,2021-07-14 21:47:25 UTC
737,Neutro,347,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbHNCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c6dc1dd3b1b65b33a064352e4327fe9307f4b7f5/mafalda_03_482_0_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:47:41 UTC,2021-07-14 21:47:41 UTC
738,Sorpresa ,348,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbHdCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5e34fe5aa2e72a2a196ad8cf6c47ebb507d7ba85/mafalda_03_482_0_1.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:47:46 UTC,2021-07-14 21:47:46 UTC
739,Tristeza,349,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbDBCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a16a35049c6261ac8e17e1835f1878ae61b32695/mafalda_03_482_1_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:47:57 UTC,2021-07-14 21:47:57 UTC
740,Sorpresa ,350,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbDRCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ea6de5c5670241877bfccd4929eca43462426ae7/mafalda_03_482_1_1.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:48:04 UTC,2021-07-14 21:48:04 UTC
741,Ira,360,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWdCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--49d90066c8d6fa2657e465e77dd6e21d52eeeb87/mafalda_03_483_4_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:48:10 UTC,2021-07-14 21:48:10 UTC
742,Sorpresa ,361,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWtCIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6ad4a0b8332329300bf94c4812a410718fdcba03/mafalda_03_484_0_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:48:13 UTC,2021-07-14 21:48:13 UTC
743,Neutro,362,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbW9CIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4d54f481367e555404dd02b4e20e8deeae128d95/mafalda_03_484_0_1.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,11,2021-07-14 21:48:15 UTC,2021-07-14 21:48:15 UTC
